time,total_events,window_size,slide
162 ,888084      ,5          ,1
163 ,891321      ,5          ,1
164 ,894550      ,5          ,1
165 ,897851      ,5          ,1
166 ,900875      ,5          ,1
167 ,904096      ,5          ,1
168 ,907245      ,5          ,1
169 ,910470      ,5          ,1
170 ,913570      ,5          ,1
171 ,916588      ,5          ,1
172 ,919650      ,5          ,1
1   ,8739        ,10         ,1
2   ,17232       ,10         ,1
3   ,26888       ,10         ,1
4   ,34225       ,10         ,1
5   ,43907       ,10         ,1
6   ,53370       ,10         ,1
7   ,62840       ,10         ,1
8   ,67877       ,10         ,1
9   ,77491       ,10         ,1
10  ,86997       ,10         ,1
11  ,96369       ,10         ,1
12  ,105062      ,10         ,1
13  ,113700      ,10         ,1
14  ,121555      ,10         ,1
15  ,129984      ,10         ,1
16  ,136251      ,10         ,1
17  ,145807      ,10         ,1
18  ,155083      ,10         ,1
19  ,163741      ,10         ,1
20  ,172777      ,10         ,1
21  ,178695      ,10         ,1
22  ,188271      ,10         ,1
23  ,197683      ,10         ,1
24  ,206976      ,10         ,1
25  ,214332      ,10         ,1
26  ,220291      ,10         ,1
27  ,229664      ,10         ,1
28  ,238543      ,10         ,1
29  ,246943      ,10         ,1
30  ,255712      ,10         ,1
31  ,261030      ,10         ,1
32  ,270757      ,10         ,1
33  ,280156      ,10         ,1
34  ,289443      ,10         ,1
35  ,298817      ,10         ,1
36  ,304825      ,10         ,1
37  ,310919      ,10         ,1
38  ,320503      ,10         ,1
39  ,329854      ,10         ,1
40  ,339089      ,10         ,1
41  ,343778      ,10         ,1
42  ,351152      ,10         ,1
43  ,356825      ,10         ,1
44  ,366372      ,10         ,1
45  ,375258      ,10         ,1
46  ,383754      ,10         ,1
47  ,389509      ,10         ,1
48  ,398604      ,10         ,1
49  ,404320      ,10         ,1
50  ,413904      ,10         ,1
51  ,422610      ,10         ,1
52  ,428271      ,10         ,1
53  ,437562      ,10         ,1
54  ,446555      ,10         ,1
55  ,453096      ,10         ,1
56  ,462770      ,10         ,1
57  ,470998      ,10         ,1
58  ,479524      ,10         ,1
59  ,486097      ,10         ,1
60  ,495207      ,10         ,1
61  ,501685      ,10         ,1
62  ,511237      ,10         ,1
63  ,520191      ,10         ,1
64  ,529112      ,10         ,1
65  ,535669      ,10         ,1
66  ,543626      ,10         ,1
67  ,550745      ,10         ,1
68  ,560401      ,10         ,1
69  ,569625      ,10         ,1
70  ,578540      ,10         ,1
71  ,584965      ,10         ,1
72  ,593281      ,10         ,1
73  ,599679      ,10         ,1
74  ,609358      ,10         ,1
75  ,618182      ,10         ,1
76  ,626009      ,10         ,1
77  ,634827      ,10         ,1
78  ,642607      ,10         ,1
79  ,648185      ,10         ,1
80  ,657754      ,10         ,1
81  ,666918      ,10         ,1
82  ,674105      ,10         ,1
83  ,681656      ,10         ,1
84  ,688852      ,10         ,1
85  ,695790      ,10         ,1
86  ,705485      ,10         ,1
87  ,714667      ,10         ,1
88  ,722460      ,10         ,1
89  ,728851      ,10         ,1
